Concurso,Data Sorteio,1º Prêmio,2º Prêmio,3º Prêmio,4º Prêmio,5º Prêmio
00001,15/09/1962,05349,38031,26492,25151,01416
00002,22/09/1962,03334,34714,20967,36468,18452
00003,29/09/1962,27793,15637,11505,14184,25711
00004,03/10/1962,10896,37354,38461,01951,33569
00005,06/10/1962,23972,33280,03664,34058,03746
00006,10/10/1962,00934,15267,03690,24257,32504
00007,13/10/1962,01314,10660,01472,07130,00810
00008,17/10/1962,21096,01329,25331,16235,03141
00009,20/10/1962,05728,20382,32260,28491,27274
00010,24/10/1962,00338,37703,12749,01370,37915
00011,27/10/1962,33264,36070,34611,27023,30637
00012,31/10/1962,07058,18897,34444,06478,00962
00013,07/11/1962,35275,03129,29176,31921,05842
00014,10/11/1962,33932,25282,04715,03408,38803
00015,14/11/1962,00809,05041,11942,39510,29207
00016,17/11/1962,36536,05752,16035,09775,19175
00017,21/11/1962,25913,12173,21454,11363,15010
00018,24/11/1962,17716,07891,26139,07792,25301
00019,28/11/1962,30407,33594,33789,16677,13565
00020,01/12/1962,34413,06267,32363,31339,36524
00021,05/12/1962,19859,31796,37438,20456,17238
00022,12/12/1962,36637,10284,03185,24896,32613
00023,15/12/1962,30122,05169,17548,29570,39424
00024,19/12/1962,09471,23336,31604,10592,34373
00025,22/12/1962,03457,22079,28594,23094,11338
00026,26/12/1962,21865,21867,11972,23785,08465
00027,29/12/1962,06195,27828,27049,07637,15744
00028,02/01/1963,29063,05673,15479,22347,36597
00029,05/01/1963,26584,02662,33566,32094,21243
00030,09/01/1963,25793,13312,33039,00540,39415
00031,12/01/1963,26801,19425,29537,22547,05724
00032,16/01/1963,10689,19533,02491,31211,36298
00033,19/01/1963,02393,32420,32302,39410,01715
00034,23/01/1963,28914,12584,04401,20964,12314
00035,26/01/1963,19446,01617,12544,13817,20328
00036,30/01/1963,28620,00974,38939,37438,04048
00037,02/02/1963,30578,22930,28938,32794,12281
00038,06/02/1963,28838,32397,13531,33138,39267
00039,09/02/1963,04291,07363,09641,12341,24032
00040,13/02/1963,12085,01069,35666,03516,37535
00041,16/02/1963,03979,02247,02939,31169,22102
00042,20/02/1963,38403,38630,05301,04190,02993
00043,23/02/1963,12341,24187,20579,00251,01133
00044,02/03/1963,26908,24430,29152,03076,08391
00045,06/03/1963,04057,05588,28936,23322,29662
00046,09/03/1963,04361,15759,10322,29826,00596
00047,13/03/1963,27650,20372,09995,16125,10097
00048,16/03/1963,14915,21223,16654,17198,01684
00049,20/03/1963,23496,19242,04622,05547,10625
00050,23/03/1963,24341,10430,16193,21540,29063
00051,27/03/1963,15602,22479,09925,28652,25984
00052,30/03/1963,26660,14119,26721,27088,00299
00053,03/04/1963,22213,29830,23508,16875,28350
00054,06/04/1963,15234,07725,26948,29590,17689
00055,10/04/1963,11071,25301,02733,14935,17386
00056,17/04/1963,02472,18740,29532,10786,29707
00057,20/04/1963,28428,36293,39314,14211,24556
00058,24/04/1963,10087,09646,18960,10748,10454
00059,27/04/1963,25317,00045,20124,24606,08327
00060,04/05/1963,00450,02477,03431,25014,28886
00061,08/05/1963,23124,01278,27303,00388,11326
00062,11/05/1963,19907,25827,10304,29497,22330
00063,15/05/1963,25095,28690,00667,11953,12478
00064,18/05/1963,03005,04290,09861,02002,16527
00065,22/05/1963,25418,27227,15551,15912,00733
00066,25/05/1963,19439,29213,21414,26002,01820
00067,29/05/1963,02869,19110,07546,29308,24229
00068,01/06/1963,20511,06744,28742,10733,24677
00069,05/06/1963,10857,08934,19974,22876,19489
00070,08/06/1963,11478,22344,12269,29843,31566
00071,12/06/1963,31219,23796,32543,05966,30987
00072,15/06/1963,06800,21003,01038,38855,09832
00073,19/06/1963,35621,08266,23881,28404,29624
00074,22/06/1963,12863,30443,25280,32731,07062
00075,26/06/1963,07855,26073,31492,28981,36346
00076,29/06/1963,09744,25574,07298,27290,20122
00077,03/07/1963,33007,16094,02630,31561,02057
00078,06/07/1963,12048,11071,31388,19714,02644
00079,10/07/1963,10274,09281,19088,38201,34775
00080,13/07/1963,03084,35004,32814,08921,07310
00081,17/07/1963,04065,19469,15493,10010,16758
00082,20/07/1963,37736,31177,01167,23021,38686
00083,24/07/1963,03125,22856,16512,08388,34579
00084,27/07/1963,31273,39564,04989,14258,16052
00085,31/07/1963,32992,18777,08771,21023,38344
00086,03/08/1963,00183,27707,34963,34362,09619
00087,07/08/1963,05744,23809,34963,30633,22081
00088,10/08/1963,23463,35188,33495,19706,25441
00089,14/08/1963,30715,28774,05353,37345,05381
00090,17/08/1963,23275,33208,18351,10771,29791
00091,21/08/1963,08509,00720,04283,06022,27429
00092,24/08/1963,30102,17913,17992,22300,04616
00093,28/08/1963,03173,15316,02521,23458,39559
00094,31/08/1963,11895,15758,36337,21465,23856
00095,04/09/1963,07023,22366,20337,06882,15877
00096,11/09/1963,04323,04987,23625,33865,19390
00097,14/09/1963,04941,07668,21982,17078,04758
00098,18/09/1963,13847,09773,25881,18023,16484
00099,21/09/1963,19696,29444,19456,18026,16396
00100,25/09/1963,06363,00420,19271,07665,27352
00101,28/09/1963,31904,11818,30094,07604,35301
00102,02/10/1963,36246,16373,11073,26621,11219
00103,05/10/1963,38121,37989,07131,34146,14528
00104,09/10/1963,35196,27418,15175,23613,14789
00105,12/10/1963,03071,18662,25114,37602,37136
00106,16/10/1963,36387,16798,05070,22913,28121
00107,19/10/1963,01986,32704,29107,34795,24984
00108,23/10/1963,16775,35004,18642,36707,08023
00109,26/10/1963,37228,24912,32910,00231,13431
00110,30/10/1963,06253,20350,04868,05406,26237
